,Unnamed: 0,id_artists,name_artists_df,id_tracks_df,name_tracks_df,duration_m,genre,popularity_tracks_df,release_year,popularity_artists_df,followers,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7768,7768,6dO0RkhFhjMwLtLQqNgL8r,Issam Alnajjar,0UdZzUSOLhqIFCU7wHWkgp,Hadal Ahbek,3.49,pop,76,2021,65.0,28567.0,209684,0.827,0.485,-10.384,0.0352,0.172,0.0,0.0798,0.384,94.997,4
7769,7769,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,6SKwQghsR8AISlxhcwyA9R,Marry You,3.84,pop,76,2010,93.0,29899101.0,230120,0.62,0.832,-4.848,0.036,0.332,0.0,0.104,0.481,144.926,4
7770,7770,06HL4z0CvFAxyc27GXpf02,Taylor Swift,34V9RiEPe8MNdU32qJsJa1,We Were Happy (Taylor's Version) (From The Vault),4.07,pop,76,2021,98.0,38869193.0,244237,0.609,0.373,-8.819,0.0263,0.849,0.0,0.0779,0.13,106.007,4
7771,7771,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,3bnVBN67NBEzedqQuWrpP4,Tear in My Heart,3.14,rock,76,2015,86.0,20113453.0,188493,0.655,0.632,-4.802,0.0489,0.0189,0.0,0.0722,0.447,120.113,4
7772,7772,4AcHt3JxKy59IX7JNNlZn4,Fitz and The Tantrums,2AYEOC02WLhUiOoaig2SEH,Out of My League,3.49,pop,76,2013,72.0,673153.0,209386,0.545,0.968,-3.553,0.0853,0.0387,0.00325,0.331,0.527,169.965,4
7773,7773,2cFrymmkijnjDg9SS92EPM,blackbear,0qgZvYWLIqDn0tXimF8gPa,dirty laundry,2.76,pop,76,2015,87.0,4084767.0,165600,0.766,0.64,-8.899,0.0345,0.051,0.0,0.237,0.67,100.044,4
7774,7774,6jJ0s89eD6GaHleKKya26X,Katy Perry,6F5c58TMEs1byxUstkzVeM,Roar,3.73,pop,76,2013,87.0,18021998.0,223546,0.554,0.772,-4.821,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,4
7775,7775,26VFTg2z8YR0cCuwLzESi2,Halsey,5ln5yQdUywVbf8HhFsOcd6,Walls Could Talk,1.7,pop,76,2017,89.0,14626427.0,101790,0.626,0.423,-6.035,0.0513,0.128,0.0,0.18,0.571,95.162,4
7776,7776,06HL4z0CvFAxyc27GXpf02,Taylor Swift,4uuEGH5SVuzkkSFjo2DEiY,Don't You (Taylor's Version) (From The Vault),3.48,pop,76,2021,98.0,38869193.0,208609,0.563,0.473,-11.548,0.0503,0.514,1.2e-05,0.109,0.405,101.934,4
7777,7777,0J7U24vlOOIeMpuaO6Q85A,LP,2LIh4uzqq9cXMPzzmcToHl,Lost on You,4.47,pop,76,2017,73.0,2034354.0,268105,0.433,0.724,-6.126,0.0372,0.1,0.0,0.0918,0.689,174.006,4
7778,7778,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,7l94dyN2hX9c6wWcZQuOGJ,Dangerous Woman,3.93,pop,76,2016,95.0,61301006.0,235947,0.664,0.602,-5.369,0.0412,0.0529,0.0,0.356,0.289,134.049,3
7779,7779,6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,5kNe7PE09d6Kvw5pAsx23n,Die A Happy Man,3.79,country,76,2015,80.0,3780200.0,227427,0.595,0.389,-9.245,0.0349,0.418,1.39e-06,0.116,0.4,166.052,4
7780,7780,1pgtr4nhBQjp9oCUBPyYWh,Fountains Of Wayne,27L8sESb3KR79asDUBu8nW,Stacy's Mom,3.3,rock,76,2003,63.0,130629.0,197987,0.774,0.75,-4.927,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,4
7781,7781,3AQRLZ9PuTAozP28Skbq8V,The Script,37sINbJZcFdHFAsVNsPq1i,Superheroes,4.09,rock,76,2014,78.0,6548759.0,245467,0.49,0.885,-4.121,0.0396,0.00218,0.0,0.0741,0.64,166.996,4
7782,7782,0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,03fT3OHB9KyMtGMt2zwqCT,Play It Again,3.78,country,76,2013,80.0,6325985.0,226867,0.506,0.886,-3.225,0.0655,0.0916,0.0,0.0734,0.595,143.935,4
